year,state,district,rainfall_mm,temperature_C,humidity_pct,soil_N_kg_ha,soil_P_kg_ha,soil_K_kg_ha,soil_pH,crop,yield_kg_ha
2021,Karnataka,Karnataka_D19,1207.0,22.12,81.2,115.9,49.5,102.5,7.31,Cotton,2475.7
2022,Chhattisgarh,Chhattisgarh_D16,1001.8,23.91,,143.7,28.4,54.0,,Rice,3772.1
2022,Telangana,Telangana_D41,493.9,23.49,82.5,184.1,63.7,56.2,5.72,Oilseeds,3238.1
2021,Chhattisgarh,Chhattisgarh_D113,,27.87,99.0,60.2,17.3,28.3,7.2,Sugarcane,69968.9
2021,Punjab,Punjab_D107,931.2,26.51,45.0,50.9,66.1,,6.28,Oilseeds,3133.7
2020,Odisha,Odisha_D124,1016.1,25.18,92.0,16.4,26.4,58.3,5.21,Oilseeds,2933.7
2022,Madhya Pradesh,Madhya_D119,1025.3,25.76,62.2,97.2,8.9,36.2,5.57,Sugarcane,75201.9
2024,Kerala,Kerala_D53,1192.3,29.7,80.6,136.7,2.7,33.0,7.6,Cotton,2233.1
2021,Bihar,Bihar_D88,1436.7,26.28,78.4,22.8,44.0,65.5,6.18,Rice,3869.6
2021,Andhra Pradesh,Andhra_D37,1305.0,24.28,91.2,14.1,15.3,33.5,6.81,Sugarcane,75582.7
2023,Tamil Nadu,Tamil_D81,1136.1,21.78,71.6,210.0,,82.1,5.87,Maize,4579.7
2024,Punjab,Punjab_D82,396.9,23.39,58.4,21.3,45.3,29.9,5.98,Sugarcane,77658.9
2024,Assam,Assam_D89,1374.5,31.27,74.4,48.4,11.7,38.5,,Pulses,2698.0
2021,Madhya Pradesh,Madhya_D103,1227.5,24.33,96.0,0.0,42.7,57.5,6.61,Oilseeds,3217.6
2020,Bihar,Bihar_D34,797.7,34.25,76.0,0.0,3.9,56.7,6.24,Maize,3779.8
2023,Madhya Pradesh,Madhya_D95,911.9,29.52,62.1,70.5,10.9,41.7,,Oilseeds,2772.0
2024,Uttar Pradesh,Uttar_D132,926.2,23.73,68.4,138.3,43.7,38.0,7.63,Rice,3515.3
2021,Karnataka,Karnataka_D144,724.9,24.55,74.5,79.4,44.0,81.7,5.58,Pulses,2937.7
2024,Telangana,Telangana_D28,200.8,18.56,72.5,0.0,30.2,0.0,7.44,Oilseeds,
2023,Andhra Pradesh,Andhra_D82,453.4,,70.4,77.0,20.6,79.2,6.56,Cotton,2384.6
2023,Assam,Assam_D62,537.4,34.79,85.5,4.2,31.9,0.0,,Maize,
2022,Jharkhand,Jharkhand_D120,,33.53,99.0,32.8,40.2,55.9,6.4,Oilseeds,2205.3
2021,Gujarat,Gujarat_D32,454.7,33.43,85.0,83.7,20.3,31.1,7.24,Rice,
2023,Punjab,Punjab_D69,1356.5,29.44,80.1,72.9,14.6,20.1,7.03,Sugarcane,81240.4
2022,Madhya Pradesh,Madhya_D116,1094.4,26.29,86.2,90.7,29.2,108.1,5.58,Wheat,4871.9
2022,Punjab,Punjab_D64,511.6,27.39,80.4,127.3,57.3,11.3,5.91,Wheat,4317.3
2024,Haryana,Haryana_D37,624.7,,72.9,78.0,12.0,8.5,5.83,Pulses,2568.2
2024,Telangana,Telangana_D25,1391.7,,62.1,45.2,41.0,17.0,6.77,Groundnut,3340.8
2022,Haryana,Haryana_D13,1381.8,23.86,62.1,,60.5,90.0,6.99,Jute,3895.8
2024,Karnataka,Karnataka_D75,928.0,26.71,70.6,4.2,20.7,,5.41,Wheat,4205.1
2023,Punjab,Punjab_D99,1369.9,21.59,75.1,82.3,60.7,41.0,6.42,Oilseeds,
2020,Gujarat,Gujarat_D108,593.6,29.38,87.8,138.1,0.0,15.0,7.16,Rice,3548.2
2023,Assam,Assam_D64,,23.36,69.2,48.7,12.3,0.0,6.84,Maize,4213.1
2022,Bihar,Bihar_D41,310.3,29.28,65.5,52.7,49.2,21.6,6.98,Wheat,3942.3
2022,Assam,Assam_D84,754.3,22.68,74.8,163.5,3.5,32.0,,Pulses,2936.1
2023,Andhra Pradesh,Andhra_D148,911.2,26.33,77.2,90.2,47.3,31.4,7.06,Groundnut,3495.9
2024,Jharkhand,Jharkhand_D81,226.0,28.1,62.1,84.6,37.8,42.0,6.03,Wheat,4011.0
2024,Chhattisgarh,Chhattisgarh_D49,1137.2,26.34,60.0,92.3,51.7,51.4,7.11,Rice,3341.2
2022,Madhya Pradesh,Madhya_D41,1204.1,29.56,80.4,38.0,2.3,10.6,5.59,Cotton,2198.3
2021,Bihar,Bihar_D128,1304.4,28.79,68.9,131.8,44.0,46.6,5.18,Jute,3696.0
2024,Karnataka,Karnataka_D132,1833.7,25.31,88.5,150.0,24.6,,7.79,Oilseeds,3196.2
2023,Jharkhand,Jharkhand_D120,,24.64,,67.2,51.4,33.2,7.84,Jute,3328.4
2024,Uttar Pradesh,Uttar_D128,874.4,24.36,,98.4,16.9,85.2,5.95,Wheat,4637.5
2023,Punjab,Punjab_D79,259.2,23.78,53.1,123.4,,0.0,4.44,Groundnut,2746.1
2022,Assam,Assam_D128,1056.8,,70.9,125.5,51.0,79.4,5.19,Rice,3367.4
2024,Karnataka,Karnataka_D6,1123.8,24.48,56.0,131.6,35.1,73.0,5.69,Maize,4463.4
2023,Bihar,Bihar_D24,357.6,31.37,51.5,13.5,43.6,0.0,5.23,Maize,3755.7
2022,Haryana,Haryana_D101,804.0,27.65,93.4,110.5,38.6,16.9,6.1,Pulses,3097.8
2021,Odisha,Odisha_D130,904.5,25.58,63.5,148.9,53.2,25.0,6.43,Wheat,
2023,Odisha,Odisha_D118,,27.78,84.1,106.5,20.2,4.7,5.67,Oilseeds,3200.0
2021,Punjab,Punjab_D62,1242.5,28.02,54.2,149.4,13.0,51.9,5.41,Jute,3431.6
2021,Telangana,Telangana_D56,685.4,19.97,60.1,79.7,14.0,20.6,5.74,Pulses,2518.4
2020,Chhattisgarh,Chhattisgarh_D150,980.5,26.69,,97.2,0.0,0.0,5.82,Groundnut,3195.8
2024,Haryana,Haryana_D91,1129.5,27.03,81.1,78.4,32.9,36.5,6.49,Groundnut,3842.4
2023,Haryana,Haryana_D13,827.3,25.68,77.5,104.1,22.2,32.3,6.16,Millets,3515.5
2021,Karnataka,Karnataka_D13,731.4,18.51,50.9,115.8,27.0,28.8,5.79,Oilseeds,2699.3
2020,Jharkhand,Jharkhand_D73,1185.0,25.67,49.5,26.7,,0.0,6.17,Cotton,2100.5
2022,Haryana,Haryana_D127,828.9,33.45,78.0,83.3,33.1,57.4,6.85,Oilseeds,2597.7
2023,Odisha,Odisha_D121,421.2,29.2,90.4,81.2,23.1,14.5,7.99,Jute,2552.3
2021,Assam,Assam_D74,1449.2,22.79,89.7,55.5,47.9,41.5,5.38,Cotton,2570.5
2024,West Bengal,West_D138,465.5,30.57,59.1,94.4,32.1,69.5,6.18,Millets,2968.7
2020,Uttar Pradesh,Uttar_D3,862.2,22.57,64.3,40.5,24.4,23.5,6.38,Rice,3194.1
2021,Kerala,Kerala_D28,1028.7,28.08,77.9,40.2,41.1,86.5,7.42,Wheat,4437.1
2024,Uttar Pradesh,Uttar_D111,1082.1,28.11,78.9,51.1,23.9,12.8,5.97,Maize,4640.9
2021,Gujarat,Gujarat_D35,967.8,25.53,73.8,24.1,41.6,109.6,6.64,Oilseeds,3167.6
2023,Bihar,Bihar_D68,150.0,31.17,64.5,48.0,,15.9,7.44,Rice,3064.0
2023,Gujarat,Gujarat_D94,619.0,30.01,77.1,161.8,24.7,26.5,6.25,Maize,4636.5
2023,Bihar,Bihar_D104,1018.5,23.9,72.5,30.0,24.2,59.8,,Oilseeds,2940.1
2020,Uttar Pradesh,Uttar_D94,856.4,25.84,73.0,39.4,58.6,29.2,7.6,Sugarcane,76059.8
2023,Andhra Pradesh,Andhra_D12,1104.7,23.57,83.4,85.8,28.1,58.1,5.83,Rice,3794.3
2024,Odisha,Odisha_D103,1308.6,24.71,86.7,32.7,10.0,30.5,7.1,Rice,3267.9
2021,Gujarat,Gujarat_D14,1102.7,29.6,75.2,39.4,36.0,44.8,6.89,Rice,3850.3
2022,Uttar Pradesh,Uttar_D146,608.4,26.95,74.4,25.4,52.5,,,Groundnut,3147.9
2024,Gujarat,Gujarat_D144,684.6,31.12,67.7,80.7,27.7,66.3,,Pulses,2527.6
2024,Andhra Pradesh,Andhra_D50,1552.6,20.68,72.0,69.5,,1.4,6.64,Groundnut,3435.8
2023,Karnataka,Karnataka_D93,828.4,28.1,81.4,100.2,43.7,33.5,6.56,Oilseeds,3206.9
2020,Punjab,Punjab_D142,861.8,30.32,77.4,89.3,37.2,43.9,5.19,Cotton,2140.7
2021,Kerala,Kerala_D74,1104.0,27.41,61.9,132.2,23.8,66.2,7.02,Wheat,4708.5
2020,Madhya Pradesh,Madhya_D19,1394.9,21.55,61.1,56.0,38.1,0.0,6.36,Jute,3645.2
2021,Andhra Pradesh,Andhra_D99,539.5,22.8,60.6,27.4,25.7,67.5,7.59,Rice,2782.8
2021,Kerala,Kerala_D130,701.6,30.63,87.2,41.7,75.6,47.1,7.12,Maize,3940.6
2020,Uttar Pradesh,Uttar_D116,258.4,24.87,45.1,161.3,39.0,5.6,6.15,Cotton,2049.3
2024,Karnataka,Karnataka_D141,781.5,23.88,49.7,0.0,53.9,57.3,4.79,Maize,3711.5
2021,Telangana,Telangana_D72,1127.0,25.64,60.8,130.0,26.2,,6.28,Maize,4708.3
2020,West Bengal,West_D31,754.3,25.99,81.3,129.7,55.4,103.4,5.88,Rice,3557.6
2021,Haryana,Haryana_D33,1603.9,31.74,66.0,91.9,29.8,34.3,6.65,Oilseeds,2951.3
2022,Andhra Pradesh,Andhra_D25,946.5,20.02,57.6,,42.2,80.8,6.85,Maize,3567.5
2024,Haryana,Haryana_D101,859.1,29.3,75.3,103.6,47.7,87.0,7.31,Jute,3720.5
2023,West Bengal,West_D96,759.1,32.84,76.1,42.9,36.0,17.1,6.44,Wheat,
2021,West Bengal,West_D87,356.1,30.78,81.8,58.1,20.5,49.3,6.3,Millets,2920.7
2022,Andhra Pradesh,Andhra_D143,863.9,36.3,90.4,90.1,18.7,,6.03,Rice,2947.2
2023,Bihar,Bihar_D94,1043.4,25.17,88.5,57.3,11.7,97.7,5.52,Rice,3805.6
2023,Gujarat,Gujarat_D37,,30.57,78.3,30.6,0.0,17.7,7.13,Millets,2741.8
2021,Karnataka,Karnataka_D51,,26.66,68.7,71.2,48.7,75.2,6.18,Groundnut,3655.4
2020,West Bengal,West_D131,631.7,24.92,76.5,102.5,24.6,46.2,5.47,Groundnut,3538.9
2021,Bihar,Bihar_D103,402.1,18.12,63.9,131.5,47.5,13.6,5.55,Oilseeds,2686.1
2022,Telangana,Telangana_D129,857.5,,83.4,109.9,12.3,13.7,6.16,Sugarcane,76327.9
2023,Karnataka,Karnataka_D11,988.2,31.26,62.6,149.7,30.1,72.2,6.66,Pulses,
2021,Assam,Assam_D12,832.5,20.14,58.6,91.2,30.3,81.1,7.07,Pulses,2686.2
2020,Karnataka,Karnataka_D10,981.4,35.39,84.3,71.8,21.5,85.1,7.52,Oilseeds,
2021,Chhattisgarh,Chhattisgarh_D36,1210.7,28.64,48.4,160.0,50.6,44.3,6.11,Sugarcane,79744.4
2024,Haryana,Haryana_D86,1209.1,22.58,61.0,62.9,48.7,37.0,5.7,Pulses,3015.0
2020,Andhra Pradesh,Andhra_D122,1242.9,,79.0,119.4,25.3,51.8,6.77,Jute,3858.6
2022,Punjab,Punjab_D133,,29.75,68.7,136.5,50.8,0.7,,Jute,3417.1
2023,Telangana,Telangana_D117,1098.8,25.04,68.1,0.0,50.2,40.8,6.51,Maize,4384.3
2021,Kerala,Kerala_D39,1042.5,24.5,54.2,82.1,52.2,88.5,6.17,Oilseeds,3296.5
2020,West Bengal,West_D132,1677.2,34.9,55.4,30.6,58.9,,6.17,Sugarcane,83258.8
2024,Karnataka,Karnataka_D36,1213.4,25.64,67.3,27.9,46.3,70.3,4.36,Oilseeds,2707.3
2020,Kerala,Kerala_D84,561.9,26.43,47.5,42.3,50.7,57.5,6.59,Maize,4008.7
2024,Punjab,Punjab_D82,154.8,32.29,69.9,0.0,27.1,0.0,5.35,Jute,2317.0
2022,Assam,Assam_D42,803.5,26.71,87.0,,25.8,61.1,5.48,Pulses,3032.1
2023,Odisha,Odisha_D101,1149.9,30.06,85.7,67.7,31.6,58.9,4.08,Rice,3030.1
2022,Karnataka,Karnataka_D77,1283.6,25.11,78.0,128.6,28.0,48.4,4.74,Oilseeds,3074.9
2021,Uttar Pradesh,Uttar_D87,399.8,24.21,72.9,92.8,38.9,45.6,6.76,Wheat,4307.8
2020,Telangana,Telangana_D130,1191.8,28.52,68.8,77.7,31.8,51.3,6.29,Millets,3368.3
2024,Bihar,Bihar_D131,1353.9,23.08,70.8,41.2,29.2,18.7,5.8,Cotton,2413.2
2024,Bihar,Bihar_D137,1143.5,28.63,57.3,63.3,66.4,,6.14,Jute,
2020,West Bengal,West_D126,1066.3,23.33,61.5,98.2,,5.7,,Groundnut,3418.7
2020,Karnataka,Karnataka_D145,846.9,28.59,47.4,66.9,58.8,25.0,6.54,Oilseeds,3054.6
2021,Assam,Assam_D77,716.0,31.94,,52.9,13.9,17.7,6.58,Pulses,2454.5
2022,West Bengal,West_D122,1214.2,19.03,68.4,79.7,33.1,18.8,6.67,Millets,3450.0
2024,Andhra Pradesh,Andhra_D5,1133.3,25.36,97.1,132.8,39.4,42.1,6.51,Pulses,3316.7
2021,Telangana,Telangana_D95,769.1,19.16,62.0,87.4,36.6,11.7,4.67,Millets,3018.5
2022,Haryana,Haryana_D85,1916.8,25.83,69.9,128.2,3.0,95.4,5.41,Wheat,5140.3
2021,Karnataka,Karnataka_D29,296.1,28.34,79.6,0.0,35.1,7.1,6.75,Oilseeds,2372.2
2024,Bihar,Bihar_D107,807.1,25.64,75.7,85.4,18.6,39.6,7.12,Wheat,4519.3
2020,Chhattisgarh,Chhattisgarh_D150,591.4,18.44,68.9,74.3,42.1,66.4,7.45,Groundnut,3022.7
2020,Andhra Pradesh,Andhra_D79,1053.7,30.6,94.0,38.4,25.6,49.5,7.27,Cotton,2247.2
2022,Uttar Pradesh,Uttar_D7,150.0,21.16,57.4,87.9,0.4,30.2,5.16,Pulses,2001.3
2023,Telangana,Telangana_D122,1407.7,30.34,78.6,116.6,,,6.69,Maize,4800.9
2022,Telangana,Telangana_D68,1302.2,24.01,64.1,84.0,12.6,74.7,5.08,Wheat,4545.0
2023,Haryana,Haryana_D149,1006.9,23.52,68.1,24.0,58.8,42.0,6.5,Pulses,2816.7
2021,Assam,Assam_D148,775.9,27.04,73.5,100.8,14.5,41.4,6.33,Maize,4742.3
2021,Andhra Pradesh,Andhra_D59,1186.5,31.26,68.3,132.1,4.9,101.4,5.59,Jute,3421.4
2024,Chhattisgarh,Chhattisgarh_D14,1031.5,34.82,,,29.8,110.7,5.53,Jute,2818.8
2023,Madhya Pradesh,Madhya_D150,1280.8,25.36,49.3,77.3,42.8,42.9,5.81,Oilseeds,3180.4
2024,West Bengal,West_D123,851.0,21.79,,49.5,0.0,67.0,6.6,Maize,4182.6
2020,Madhya Pradesh,Madhya_D44,827.4,28.38,49.2,97.2,52.8,52.6,7.02,Oilseeds,
2023,Jharkhand,Jharkhand_D135,1331.1,21.64,89.3,63.6,9.4,52.1,6.43,Millets,3812.6
2022,Madhya Pradesh,Madhya_D98,1153.5,29.97,68.6,247.2,59.7,54.9,7.91,Groundnut,3196.2
2020,Assam,Assam_D38,830.4,28.77,82.5,130.9,6.7,61.7,5.03,Maize,4493.4
2020,Assam,Assam_D63,1047.1,32.42,37.3,91.6,11.2,6.4,7.52,Cotton,1722.2
2022,Chhattisgarh,Chhattisgarh_D9,973.9,31.21,69.5,101.4,21.6,28.5,6.96,Millets,3282.4
2020,Assam,Assam_D147,,27.56,69.8,73.8,64.7,20.0,6.39,Pulses,2698.6
2023,Tamil Nadu,Tamil_D29,1407.8,27.12,58.1,101.0,71.1,32.3,7.93,Oilseeds,2757.4
2024,Haryana,Haryana_D49,,23.45,81.6,106.8,14.3,51.2,,Groundnut,3654.8
2020,Bihar,Bihar_D5,642.2,23.37,61.6,44.4,3.3,55.4,5.25,Oilseeds,2653.4
2023,Telangana,Telangana_D113,,26.83,58.1,68.8,66.3,18.1,7.08,Groundnut,3378.5
2021,Gujarat,Gujarat_D81,685.4,22.69,65.1,94.4,0.0,20.8,5.82,Jute,3504.6
2023,Haryana,Haryana_D108,535.6,25.93,82.9,98.7,12.5,25.0,5.63,Millets,3418.1
2024,Chhattisgarh,Chhattisgarh_D39,1297.4,25.12,73.7,68.4,36.6,0.0,6.25,Maize,
2023,Gujarat,Gujarat_D106,785.1,29.37,75.3,61.8,22.6,14.5,5.69,Oilseeds,3052.3
2022,Odisha,Odisha_D53,152.8,26.91,80.2,106.2,10.3,39.3,5.88,Rice,3231.2
2024,Tamil Nadu,Tamil_D106,1239.0,30.98,67.1,105.0,0.0,33.4,6.12,Sugarcane,78413.7
2021,Gujarat,Gujarat_D129,724.7,,84.0,60.0,12.3,21.6,,Maize,4542.3
2022,Madhya Pradesh,Madhya_D121,1131.1,22.32,75.1,,36.4,83.6,6.22,Groundnut,3581.4
2023,Madhya Pradesh,Madhya_D16,1333.4,,81.3,106.5,32.0,71.1,6.06,Rice,4140.4
2024,Madhya Pradesh,Madhya_D36,975.9,26.5,59.5,119.4,6.6,,6.14,Cotton,2508.7
2021,Haryana,Haryana_D133,150.0,25.92,71.3,107.3,37.5,100.2,6.27,Rice,3499.4
2022,West Bengal,West_D54,150.0,,82.8,158.9,40.3,0.0,5.99,Pulses,2557.0
2021,Odisha,Odisha_D144,631.0,26.95,94.6,116.6,0.0,5.6,6.76,Oilseeds,2988.4
2023,Kerala,Kerala_D84,877.3,25.92,84.2,91.8,22.2,0.0,5.7,Sugarcane,84096.1
2021,Assam,Assam_D123,1380.1,29.07,84.8,38.9,0.0,,6.71,Jute,3555.3
2020,Jharkhand,Jharkhand_D135,1016.5,29.96,49.0,76.9,63.8,41.3,6.33,Wheat,4385.0
2022,Madhya Pradesh,Madhya_D97,1946.9,25.52,66.0,70.7,42.9,,5.51,Rice,3937.8
2021,Assam,Assam_D81,303.4,35.0,78.4,90.5,26.5,4.1,6.39,Oilseeds,1994.8
2023,West Bengal,West_D45,948.5,24.72,51.5,23.7,0.0,,6.74,Cotton,2196.8
2023,Bihar,Bihar_D118,721.8,27.07,76.0,105.1,13.1,47.3,6.16,Oilseeds,
2021,Bihar,Bihar_D137,993.9,20.51,65.1,53.2,26.1,36.0,,Maize,3601.0
2023,Tamil Nadu,Tamil_D88,1600.7,26.58,65.8,94.9,57.1,35.4,6.39,Oilseeds,3513.9
2024,Bihar,Bihar_D140,1626.0,26.19,,58.0,39.9,27.0,6.63,Groundnut,
2024,Gujarat,Gujarat_D91,921.8,26.8,75.3,74.1,35.2,0.0,6.28,Oilseeds,3181.8
2024,Karnataka,Karnataka_D68,1244.6,30.91,81.0,39.2,30.7,38.4,5.04,Jute,3095.0
2020,Kerala,Kerala_D124,986.2,33.72,53.8,,40.4,57.9,6.14,Sugarcane,77216.6
2021,Uttar Pradesh,Uttar_D50,469.9,31.43,84.2,102.4,59.6,118.2,6.01,Jute,3238.1
2020,Uttar Pradesh,Uttar_D64,905.7,26.59,79.5,121.7,0.0,,5.41,Cotton,2460.2
2023,Uttar Pradesh,Uttar_D72,,27.79,66.3,77.6,38.4,28.1,6.94,Pulses,2698.2
2020,Jharkhand,Jharkhand_D143,874.9,33.09,84.3,136.2,34.0,66.0,7.17,Sugarcane,74554.1
2023,Karnataka,Karnataka_D77,559.2,23.0,45.0,125.6,34.8,80.1,5.54,Pulses,2719.7
2023,Madhya Pradesh,Madhya_D58,962.1,30.14,,90.7,44.0,83.0,6.92,Maize,4524.1
2022,Bihar,Bihar_D77,1022.3,23.45,61.6,35.5,44.2,38.7,6.43,Cotton,2309.9
2024,Telangana,Telangana_D74,1181.7,31.57,54.3,,35.2,28.4,5.98,Oilseeds,2850.1
2023,Assam,Assam_D54,1023.9,26.46,47.7,95.8,25.7,53.8,7.08,Sugarcane,78013.2
2022,Kerala,Kerala_D126,1553.8,,79.5,104.0,37.2,20.3,6.12,Millets,3873.2
2024,Haryana,Haryana_D82,1776.9,24.37,77.7,63.9,24.0,36.0,6.14,Cotton,2724.2
2023,Haryana,Haryana_D123,738.2,25.0,88.0,48.0,36.5,36.9,5.7,Pulses,2863.9
2023,Haryana,Haryana_D90,1288.0,30.81,80.0,6.1,41.9,23.3,6.03,Sugarcane,83752.6
2020,Telangana,Telangana_D144,1745.8,32.36,65.6,85.2,,71.0,6.38,Wheat,4370.6
2020,Jharkhand,Jharkhand_D71,1298.4,25.39,99.0,75.7,47.7,,6.33,Pulses,3112.8
2024,Andhra Pradesh,Andhra_D74,1186.9,23.51,85.2,134.6,43.8,66.6,6.17,Pulses,3404.3
2023,West Bengal,West_D32,171.3,35.12,52.7,,0.0,18.5,5.89,Jute,2089.3
2021,Jharkhand,Jharkhand_D147,676.8,30.28,68.1,78.4,0.0,55.0,6.2,Millets,3049.0
2020,Uttar Pradesh,Uttar_D140,735.2,23.9,73.4,31.0,46.8,0.0,,Sugarcane,73990.7
2024,Odisha,Odisha_D98,1454.9,28.44,66.1,153.5,,33.7,7.12,Pulses,2811.3
2023,Chhattisgarh,Chhattisgarh_D102,607.8,25.35,99.0,63.8,16.8,46.7,5.85,Sugarcane,
2023,Jharkhand,Jharkhand_D89,865.9,21.86,65.7,18.0,18.3,79.0,,Sugarcane,76852.3
2021,Kerala,Kerala_D38,1236.1,25.76,64.2,82.3,29.3,13.9,5.33,Oilseeds,3051.1
2024,Haryana,Haryana_D75,589.7,,81.1,88.1,43.3,31.2,7.34,Jute,3292.1
2023,Jharkhand,Jharkhand_D11,1011.6,25.08,71.8,51.3,53.0,51.9,6.88,Cotton,2458.5
2020,Andhra Pradesh,Andhra_D74,959.5,25.45,66.7,79.0,20.3,72.9,5.73,Millets,3594.0
2021,Andhra Pradesh,Andhra_D21,1250.8,24.84,99.0,34.2,,42.7,6.24,Sugarcane,79991.0
2024,Chhattisgarh,Chhattisgarh_D89,1163.5,30.64,93.0,54.9,41.3,29.3,5.66,Jute,3355.2
2021,Jharkhand,Jharkhand_D114,1150.9,28.62,48.8,54.9,31.3,25.5,6.11,Groundnut,3229.2
2020,Madhya Pradesh,Madhya_D66,980.3,24.44,98.1,,38.0,0.0,7.44,Groundnut,3283.7
2024,Punjab,Punjab_D123,229.6,28.29,67.3,130.3,25.1,11.1,7.09,Oilseeds,2454.5
2021,Odisha,Odisha_D55,955.9,32.22,87.0,80.0,27.1,,6.29,Wheat,4406.1
2022,Chhattisgarh,Chhattisgarh_D52,922.1,23.68,99.0,,40.6,11.5,4.5,Maize,4179.5
2020,Jharkhand,Jharkhand_D138,1206.6,21.74,82.2,134.9,5.5,58.5,6.4,Millets,3463.0
2020,Karnataka,Karnataka_D70,730.8,22.66,99.0,132.2,11.0,0.0,6.33,Sugarcane,79467.9
2020,Gujarat,Gujarat_D144,916.7,28.51,82.8,64.5,39.5,0.0,,Jute,3443.3
2022,Odisha,Odisha_D70,929.3,32.96,79.4,,,56.1,5.62,Jute,
2022,Jharkhand,Jharkhand_D36,615.0,30.39,85.1,64.5,39.1,35.3,7.08,Oilseeds,2847.6
2023,Jharkhand,Jharkhand_D28,438.7,32.14,51.4,67.7,22.6,32.1,5.87,Rice,3068.9
2021,Telangana,Telangana_D62,1053.0,18.2,66.9,105.3,29.1,1.9,6.75,Rice,2749.7
2023,Haryana,Haryana_D63,1303.1,23.67,53.9,86.2,2.2,63.3,6.6,Groundnut,3521.5
2021,Assam,Assam_D13,650.0,22.53,67.3,56.6,36.3,36.8,6.05,Groundnut,3438.7
2022,Telangana,Telangana_D136,812.9,29.23,76.7,,13.7,54.7,6.96,Oilseeds,2889.3
2022,Telangana,Telangana_D58,1231.8,26.2,67.8,52.1,5.7,31.9,5.65,Jute,3617.1
2023,Kerala,Kerala_D60,1270.7,15.0,67.8,83.3,58.2,61.3,6.35,Jute,3127.1
2024,Tamil Nadu,Tamil_D14,992.6,30.04,49.7,72.4,32.2,61.1,7.56,Groundnut,3017.5
2023,Bihar,Bihar_D26,1065.7,31.67,62.1,,11.1,76.0,5.53,Oilseeds,2782.6
2021,Bihar,Bihar_D106,1112.8,35.04,95.0,91.7,14.8,18.0,6.21,Maize,4215.0
2023,Madhya Pradesh,Madhya_D85,1184.4,27.66,61.6,40.6,32.6,,6.53,Maize,4471.3
2020,Uttar Pradesh,Uttar_D121,471.4,29.48,64.8,58.2,4.4,19.9,6.49,Oilseeds,2518.0
2021,West Bengal,West_D26,1666.9,22.43,73.5,129.5,55.6,45.4,6.54,Wheat,5581.1
2021,Haryana,Haryana_D36,1009.6,20.43,75.6,75.2,0.0,37.5,5.63,Groundnut,3644.2
2024,Telangana,Telangana_D2,1191.9,31.97,67.9,34.6,24.5,56.0,6.33,Groundnut,3076.1
2022,Madhya Pradesh,Madhya_D141,,29.19,49.1,67.9,29.6,11.9,5.9,Wheat,
2021,Telangana,Telangana_D41,825.6,31.99,78.1,79.7,23.4,19.9,7.62,Maize,3906.8
2022,Jharkhand,Jharkhand_D105,1050.8,,98.8,177.4,45.0,46.1,6.24,Wheat,5370.5
2023,Chhattisgarh,Chhattisgarh_D122,178.2,36.48,97.5,63.1,,27.5,5.0,Rice,2737.1
2020,Telangana,Telangana_D123,539.5,28.25,59.2,65.1,22.3,39.4,6.55,Groundnut,3156.1
2024,Madhya Pradesh,Madhya_D52,609.9,23.99,76.0,89.8,15.9,47.4,7.14,Groundnut,3340.5
2022,Assam,Assam_D74,388.5,25.73,99.0,109.8,17.1,35.7,6.42,Millets,3195.3
2021,Madhya Pradesh,Madhya_D83,942.4,20.58,69.9,169.5,40.8,96.5,5.83,Jute,3588.6
2022,Jharkhand,Jharkhand_D74,870.4,23.23,73.8,69.1,15.7,0.0,5.85,Oilseeds,3102.0
2021,Jharkhand,Jharkhand_D16,1469.5,25.45,47.6,71.1,78.7,4.2,6.43,Oilseeds,3118.7
2022,Haryana,Haryana_D23,451.7,33.2,85.6,26.8,38.4,47.8,7.07,Oilseeds,2254.8
2021,Tamil Nadu,Tamil_D147,993.9,26.74,74.2,23.0,31.9,51.8,6.92,Jute,3348.7
2023,Karnataka,Karnataka_D60,548.0,31.34,56.6,81.4,28.0,4.1,6.36,Groundnut,2937.5
2021,Haryana,Haryana_D137,213.1,26.6,80.4,40.3,9.1,23.0,5.62,Wheat,3382.2
2021,Punjab,Punjab_D10,1135.1,22.9,84.7,10.4,45.5,45.3,6.25,Cotton,2521.9
2020,Madhya Pradesh,Madhya_D45,1168.2,29.18,59.6,46.8,6.3,68.5,,Groundnut,3274.5
2021,Andhra Pradesh,Andhra_D107,1120.8,23.62,45.1,24.8,63.1,47.3,6.0,Sugarcane,82535.5
2020,Telangana,Telangana_D46,373.4,25.41,72.1,77.1,49.6,29.7,5.11,Cotton,2074.0
2024,Jharkhand,Jharkhand_D10,933.4,35.13,80.4,23.1,43.2,11.4,,Jute,2769.0
2020,Kerala,Kerala_D102,1138.9,29.42,74.0,62.8,45.8,0.0,7.03,Pulses,2609.5
2023,Tamil Nadu,Tamil_D127,1280.9,23.72,87.4,101.3,36.4,0.0,7.7,Maize,4130.0
2020,Kerala,Kerala_D48,1151.3,29.93,44.3,70.2,32.7,14.6,5.8,Wheat,4214.1
2024,Assam,Assam_D75,1286.1,23.25,54.8,76.0,23.7,0.0,5.63,Maize,4410.3
2023,Haryana,Haryana_D10,1327.0,19.98,73.3,26.9,25.9,36.6,6.33,Pulses,2886.7
2022,Andhra Pradesh,Andhra_D3,941.9,31.37,46.6,107.9,18.2,72.9,6.68,Groundnut,3101.3
